,Date,DateFloat,FutureValue
0,2018-02-12 20:05:34.672433,1.518465934672433e+18,133.82033304203213
1,2018-02-13 20:05:34.672433,1.518552334672433e+18,133.85226627891
2,2018-02-14 20:05:34.672433,1.518638734672433e+18,133.884199515788
3,2018-02-15 20:05:34.672433,1.518725134672433e+18,133.91613275266587
4,2018-02-16 20:05:34.672433,1.518811534672433e+18,133.94806598954375
5,2018-02-17 20:05:34.672433,1.518897934672433e+18,133.97999922642163
6,2018-02-18 20:05:34.672433,1.518984334672433e+18,134.0119324632995
7,2018-02-19 20:05:34.672433,1.519070734672433e+18,134.04386570017738
8,2018-02-20 20:05:34.672433,1.519157134672433e+18,134.07579893705525
9,2018-02-21 20:05:34.672433,1.519243534672433e+18,134.10773217393313
10,2018-02-22 20:05:34.672433,1.519329934672433e+18,134.139665410811
11,2018-02-23 20:05:34.672433,1.519416334672433e+18,134.17159864768888
12,2018-02-24 20:05:34.672433,1.519502734672433e+18,134.20353188456676
13,2018-02-25 20:05:34.672433,1.519589134672433e+18,134.23546512144463
14,2018-02-26 20:05:34.672433,1.519675534672433e+18,134.2673983583225
15,2018-02-27 20:05:34.672433,1.519761934672433e+18,134.29933159520039
16,2018-02-28 20:05:34.672433,1.519848334672433e+18,134.33126483207826
17,2018-03-01 20:05:34.672433,1.519934734672433e+18,134.36319806895614
18,2018-03-02 20:05:34.672433,1.520021134672433e+18,134.395131305834
19,2018-03-03 20:05:34.672433,1.520107534672433e+18,134.427064542712
20,2018-03-04 20:05:34.672433,1.520193934672433e+18,134.45899777958988
21,2018-03-05 20:05:34.672433,1.520280334672433e+18,134.49093101646775
22,2018-03-06 20:05:34.672433,1.520366734672433e+18,134.52286425334563
23,2018-03-07 20:05:34.672433,1.520453134672433e+18,134.5547974902235
24,2018-03-08 20:05:34.672433,1.520539534672433e+18,134.58673072710138
25,2018-03-09 20:05:34.672433,1.520625934672433e+18,134.61866396397926
26,2018-03-10 20:05:34.672433,1.520712334672433e+18,134.65059720085713
27,2018-03-11 20:05:34.672433,1.520798734672433e+18,134.682530437735
28,2018-03-12 20:05:34.672433,1.520885134672433e+18,134.7144636746129
29,2018-03-13 20:05:34.672433,1.520971534672433e+18,134.74639691149076
30,2018-03-14 20:05:34.672433,1.521057934672433e+18,134.77833014836864
31,2018-03-15 20:05:34.672433,1.521144334672433e+18,134.81026338524651
32,2018-03-16 20:05:34.672433,1.521230734672433e+18,134.8421966221244
33,2018-03-17 20:05:34.672433,1.521317134672433e+18,134.87412985900227
34,2018-03-18 20:05:34.672433,1.521403534672433e+18,134.90606309588014
35,2018-03-19 20:05:34.672433,1.521489934672433e+18,134.93799633275802
36,2018-03-20 20:05:34.672433,1.521576334672433e+18,134.969929569636
37,2018-03-21 20:05:34.672433,1.521662734672433e+18,135.00186280651388
38,2018-03-22 20:05:34.672433,1.521749134672433e+18,135.03379604339176
39,2018-03-23 20:05:34.672433,1.521835534672433e+18,135.06572928026964
40,2018-03-24 20:05:34.672433,1.521921934672433e+18,135.0976625171475
41,2018-03-25 20:05:34.672433,1.522008334672433e+18,135.1295957540254
42,2018-03-26 20:05:34.672433,1.522094734672433e+18,135.16152899090326
43,2018-03-27 20:05:34.672433,1.522181134672433e+18,135.19346222778114
44,2018-03-28 20:05:34.672433,1.522267534672433e+18,135.22539546465902
45,2018-03-29 20:05:34.672433,1.522353934672433e+18,135.2573287015369
46,2018-03-30 20:05:34.672433,1.522440334672433e+18,135.28926193841477
47,2018-03-31 20:05:34.672433,1.522526734672433e+18,135.32119517529264
48,2018-04-01 20:05:34.672433,1.522613134672433e+18,135.35312841217052
49,2018-04-02 20:05:34.672433,1.522699534672433e+18,135.3850616490484
50,2018-04-03 20:05:34.672433,1.522785934672433e+18,135.41699488592627
51,2018-04-04 20:05:34.672433,1.522872334672433e+18,135.44892812280415
52,2018-04-05 20:05:34.672433,1.522958734672433e+18,135.48086135968202
53,2018-04-06 20:05:34.672433,1.523045134672433e+18,135.5127945965599
54,2018-04-07 20:05:34.672433,1.523131534672433e+18,135.5447278334379
55,2018-04-08 20:05:34.672433,1.523217934672433e+18,135.57666107031577
56,2018-04-09 20:05:34.672433,1.523304334672433e+18,135.60859430719364
57,2018-04-10 20:05:34.672433,1.523390734672433e+18,135.64052754407152
58,2018-04-11 20:05:34.672433,1.523477134672433e+18,135.6724607809494
59,2018-04-12 20:05:34.672433,1.523563534672433e+18,135.70439401782727
60,2018-04-13 20:05:34.672433,1.523649934672433e+18,135.73632725470515
61,2018-04-14 20:05:34.672433,1.523736334672433e+18,135.76826049158302
62,2018-04-15 20:05:34.672433,1.523822734672433e+18,135.8001937284609
63,2018-04-16 20:05:34.672433,1.523909134672433e+18,135.83212696533877
64,2018-04-17 20:05:34.672433,1.523995534672433e+18,135.86406020221665
65,2018-04-18 20:05:34.672433,1.524081934672433e+18,135.89599343909453
66,2018-04-19 20:05:34.672433,1.524168334672433e+18,135.9279266759724
67,2018-04-20 20:05:34.672433,1.524254734672433e+18,135.95985991285028
68,2018-04-21 20:05:34.672433,1.524341134672433e+18,135.99179314972815
69,2018-04-22 20:05:34.672433,1.524427534672433e+18,136.02372638660603
70,2018-04-23 20:05:34.672433,1.524513934672433e+18,136.0556596234839
71,2018-04-24 20:05:34.672433,1.524600334672433e+18,136.0875928603619
72,2018-04-25 20:05:34.672433,1.524686734672433e+18,136.11952609723977
73,2018-04-26 20:05:34.672433,1.524773134672433e+18,136.15145933411765
74,2018-04-27 20:05:34.672433,1.524859534672433e+18,136.18339257099552
75,2018-04-28 20:05:34.672433,1.524945934672433e+18,136.2153258078734
76,2018-04-29 20:05:34.672433,1.525032334672433e+18,136.24725904475127
77,2018-04-30 20:05:34.672433,1.525118734672433e+18,136.27919228162915
78,2018-05-01 20:05:34.672433,1.525205134672433e+18,136.31112551850703
79,2018-05-02 20:05:34.672433,1.525291534672433e+18,136.3430587553849
80,2018-05-03 20:05:34.672433,1.525377934672433e+18,136.37499199226278
81,2018-05-04 20:05:34.672433,1.525464334672433e+18,136.40692522914065
82,2018-05-05 20:05:34.672433,1.525550734672433e+18,136.43885846601853
83,2018-05-06 20:05:34.672433,1.525637134672433e+18,136.4707917028964
84,2018-05-07 20:05:34.672433,1.525723534672433e+18,136.50272493977428
85,2018-05-08 20:05:34.672433,1.525809934672433e+18,136.53465817665216
86,2018-05-09 20:05:34.672433,1.525896334672433e+18,136.56659141353003
87,2018-05-10 20:05:34.672433,1.525982734672433e+18,136.5985246504079
88,2018-05-11 20:05:34.672433,1.526069134672433e+18,136.6304578872859
89,2018-05-12 20:05:34.672433,1.526155534672433e+18,136.66239112416378
90,2018-05-13 20:05:34.672433,1.526241934672433e+18,136.69432436104165
91,2018-05-14 20:05:34.672433,1.526328334672433e+18,136.72625759791953
92,2018-05-15 20:05:34.672433,1.526414734672433e+18,136.7581908347974
93,2018-05-16 20:05:34.672433,1.526501134672433e+18,136.79012407167528
94,2018-05-17 20:05:34.672433,1.526587534672433e+18,136.82205730855316
95,2018-05-18 20:05:34.672433,1.526673934672433e+18,136.85399054543103
96,2018-05-19 20:05:34.672433,1.526760334672433e+18,136.8859237823089
97,2018-05-20 20:05:34.672433,1.526846734672433e+18,136.91785701918678
98,2018-05-21 20:05:34.672433,1.526933134672433e+18,136.94979025606466
99,2018-05-22 20:05:34.672433,1.527019534672433e+18,136.98172349294254
100,2018-05-23 20:05:34.672433,1.527105934672433e+18,137.0136567298204
101,2018-05-24 20:05:34.672433,1.527192334672433e+18,137.0455899666983
102,2018-05-25 20:05:34.672433,1.527278734672433e+18,137.07752320357616
103,2018-05-26 20:05:34.672433,1.527365134672433e+18,137.10945644045404
104,2018-05-27 20:05:34.672433,1.527451534672433e+18,137.14138967733192
105,2018-05-28 20:05:34.672433,1.527537934672433e+18,137.1733229142099
106,2018-05-29 20:05:34.672433,1.527624334672433e+18,137.20525615108778
107,2018-05-30 20:05:34.672433,1.527710734672433e+18,137.23718938796566
108,2018-05-31 20:05:34.672433,1.527797134672433e+18,137.26912262484353
109,2018-06-01 20:05:34.672433,1.527883534672433e+18,137.3010558617214
110,2018-06-02 20:05:34.672433,1.527969934672433e+18,137.33298909859928
111,2018-06-03 20:05:34.672433,1.528056334672433e+18,137.36492233547716
112,2018-06-04 20:05:34.672433,1.528142734672433e+18,137.39685557235504
113,2018-06-05 20:05:34.672433,1.528229134672433e+18,137.4287888092329
114,2018-06-06 20:05:34.672433,1.528315534672433e+18,137.4607220461108
115,2018-06-07 20:05:34.672433,1.528401934672433e+18,137.49265528298866
116,2018-06-08 20:05:34.672433,1.528488334672433e+18,137.52458851986654
117,2018-06-09 20:05:34.672433,1.528574734672433e+18,137.55652175674442
118,2018-06-10 20:05:34.672433,1.528661134672433e+18,137.5884549936223
119,2018-06-11 20:05:34.672433,1.528747534672433e+18,137.62038823050017
120,2018-06-12 20:05:34.672433,1.528833934672433e+18,137.65232146737804
121,2018-06-13 20:05:34.672433,1.528920334672433e+18,137.68425470425592
122,2018-06-14 20:05:34.672433,1.529006734672433e+18,137.7161879411338
123,2018-06-15 20:05:34.672433,1.529093134672433e+18,137.7481211780118
124,2018-06-16 20:05:34.672433,1.529179534672433e+18,137.78005441488966
125,2018-06-17 20:05:34.672433,1.529265934672433e+18,137.81198765176754
126,2018-06-18 20:05:34.672433,1.529352334672433e+18,137.8439208886454
127,2018-06-19 20:05:34.672433,1.529438734672433e+18,137.8758541255233
128,2018-06-20 20:05:34.672433,1.529525134672433e+18,137.90778736240117
129,2018-06-21 20:05:34.672433,1.529611534672433e+18,137.93972059927904
130,2018-06-22 20:05:34.672433,1.529697934672433e+18,137.97165383615692
131,2018-06-23 20:05:34.672433,1.529784334672433e+18,138.0035870730348
132,2018-06-24 20:05:34.672433,1.529870734672433e+18,138.03552030991267
133,2018-06-25 20:05:34.672433,1.529957134672433e+18,138.06745354679055
134,2018-06-26 20:05:34.672433,1.530043534672433e+18,138.09938678366842
135,2018-06-27 20:05:34.672433,1.530129934672433e+18,138.1313200205463
136,2018-06-28 20:05:34.672433,1.530216334672433e+18,138.16325325742417
137,2018-06-29 20:05:34.672433,1.530302734672433e+18,138.19518649430205
138,2018-06-30 20:05:34.672433,1.530389134672433e+18,138.22711973117993
139,2018-07-01 20:05:34.672433,1.530475534672433e+18,138.2590529680578
140,2018-07-02 20:05:34.672433,1.530561934672433e+18,138.2909862049358
141,2018-07-03 20:05:34.672433,1.530648334672433e+18,138.32291944181367
142,2018-07-04 20:05:34.672433,1.530734734672433e+18,138.35485267869154
143,2018-07-05 20:05:34.672433,1.530821134672433e+18,138.38678591556942
144,2018-07-06 20:05:34.672433,1.530907534672433e+18,138.4187191524473
145,2018-07-07 20:05:34.672433,1.530993934672433e+18,138.45065238932517
146,2018-07-08 20:05:34.672433,1.531080334672433e+18,138.48258562620305
147,2018-07-09 20:05:34.672433,1.531166734672433e+18,138.51451886308092
148,2018-07-10 20:05:34.672433,1.531253134672433e+18,138.5464520999588
149,2018-07-11 20:05:34.672433,1.531339534672433e+18,138.57838533683667
150,2018-07-12 20:05:34.672433,1.531425934672433e+18,138.61031857371455
151,2018-07-13 20:05:34.672433,1.531512334672433e+18,138.64225181059243
152,2018-07-14 20:05:34.672433,1.531598734672433e+18,138.6741850474703
153,2018-07-15 20:05:34.672433,1.531685134672433e+18,138.70611828434818
154,2018-07-16 20:05:34.672433,1.531771534672433e+18,138.73805152122605
155,2018-07-17 20:05:34.672433,1.531857934672433e+18,138.76998475810393
156,2018-07-18 20:05:34.672433,1.531944334672433e+18,138.8019179949818
157,2018-07-19 20:05:34.672433,1.532030734672433e+18,138.8338512318598
158,2018-07-20 20:05:34.672433,1.532117134672433e+18,138.86578446873767
159,2018-07-21 20:05:34.672433,1.532203534672433e+18,138.89771770561555
160,2018-07-22 20:05:34.672433,1.532289934672433e+18,138.92965094249342
161,2018-07-23 20:05:34.672433,1.532376334672433e+18,138.9615841793713
162,2018-07-24 20:05:34.672433,1.532462734672433e+18,138.99351741624918
163,2018-07-25 20:05:34.672433,1.532549134672433e+18,139.02545065312705
164,2018-07-26 20:05:34.672433,1.532635534672433e+18,139.05738389000493
165,2018-07-27 20:05:34.672433,1.532721934672433e+18,139.0893171268828
166,2018-07-28 20:05:34.672433,1.532808334672433e+18,139.12125036376068
167,2018-07-29 20:05:34.672433,1.532894734672433e+18,139.15318360063856
168,2018-07-30 20:05:34.672433,1.532981134672433e+18,139.18511683751643
169,2018-07-31 20:05:34.672433,1.533067534672433e+18,139.2170500743943
170,2018-08-01 20:05:34.672433,1.533153934672433e+18,139.24898331127218
171,2018-08-02 20:05:34.672433,1.533240334672433e+18,139.28091654815006
172,2018-08-03 20:05:34.672433,1.533326734672433e+18,139.31284978502794
173,2018-08-04 20:05:34.672433,1.533413134672433e+18,139.3447830219058
174,2018-08-05 20:05:34.672433,1.533499534672433e+18,139.3767162587838
175,2018-08-06 20:05:34.672433,1.533585934672433e+18,139.40864949566168
176,2018-08-07 20:05:34.672433,1.533672334672433e+18,139.44058273253955
177,2018-08-08 20:05:34.672433,1.533758734672433e+18,139.47251596941743
178,2018-08-09 20:05:34.672433,1.533845134672433e+18,139.5044492062953
179,2018-08-10 20:05:34.672433,1.533931534672433e+18,139.53638244317318
180,2018-08-11 20:05:34.672433,1.534017934672433e+18,139.56831568005106
181,2018-08-12 20:05:34.672433,1.534104334672433e+18,139.60024891692893
182,2018-08-13 20:05:34.672433,1.534190734672433e+18,139.6321821538068
183,2018-08-14 20:05:34.672433,1.534277134672433e+18,139.66411539068469
184,2018-08-15 20:05:34.672433,1.534363534672433e+18,139.69604862756256
185,2018-08-16 20:05:34.672433,1.534449934672433e+18,139.72798186444044
186,2018-08-17 20:05:34.672433,1.534536334672433e+18,139.7599151013183
187,2018-08-18 20:05:34.672433,1.534622734672433e+18,139.7918483381962
188,2018-08-19 20:05:34.672433,1.534709134672433e+18,139.82378157507407
189,2018-08-20 20:05:34.672433,1.534795534672433e+18,139.85571481195194
190,2018-08-21 20:05:34.672433,1.534881934672433e+18,139.88764804882982
191,2018-08-22 20:05:34.672433,1.534968334672433e+18,139.9195812857077
192,2018-08-23 20:05:34.672433,1.535054734672433e+18,139.95151452258568
193,2018-08-24 20:05:34.672433,1.535141134672433e+18,139.98344775946356
194,2018-08-25 20:05:34.672433,1.535227534672433e+18,140.01538099634143
195,2018-08-26 20:05:34.672433,1.535313934672433e+18,140.0473142332193
196,2018-08-27 20:05:34.672433,1.535400334672433e+18,140.0792474700972
197,2018-08-28 20:05:34.672433,1.535486734672433e+18,140.11118070697506
198,2018-08-29 20:05:34.672433,1.535573134672433e+18,140.14311394385294
199,2018-08-30 20:05:34.672433,1.535659534672433e+18,140.17504718073081
200,2018-08-31 20:05:34.672433,1.535745934672433e+18,140.2069804176087
201,2018-09-01 20:05:34.672433,1.535832334672433e+18,140.23891365448657
202,2018-09-02 20:05:34.672433,1.535918734672433e+18,140.27084689136444
203,2018-09-03 20:05:34.672433,1.536005134672433e+18,140.30278012824232
204,2018-09-04 20:05:34.672433,1.536091534672433e+18,140.3347133651202
205,2018-09-05 20:05:34.672433,1.536177934672433e+18,140.36664660199807
206,2018-09-06 20:05:34.672433,1.536264334672433e+18,140.39857983887595
207,2018-09-07 20:05:34.672433,1.536350734672433e+18,140.43051307575382
208,2018-09-08 20:05:34.672433,1.536437134672433e+18,140.4624463126317
209,2018-09-09 20:05:34.672433,1.536523534672433e+18,140.4943795495097
210,2018-09-10 20:05:34.672433,1.536609934672433e+18,140.52631278638756
211,2018-09-11 20:05:34.672433,1.536696334672433e+18,140.55824602326544
212,2018-09-12 20:05:34.672433,1.536782734672433e+18,140.59017926014332
213,2018-09-13 20:05:34.672433,1.536869134672433e+18,140.6221124970212
214,2018-09-14 20:05:34.672433,1.536955534672433e+18,140.65404573389907
215,2018-09-15 20:05:34.672433,1.537041934672433e+18,140.68597897077694
216,2018-09-16 20:05:34.672433,1.537128334672433e+18,140.71791220765482
217,2018-09-17 20:05:34.672433,1.537214734672433e+18,140.7498454445327
218,2018-09-18 20:05:34.672433,1.537301134672433e+18,140.78177868141057
219,2018-09-19 20:05:34.672433,1.537387534672433e+18,140.81371191828845
220,2018-09-20 20:05:34.672433,1.537473934672433e+18,140.84564515516632
221,2018-09-21 20:05:34.672433,1.537560334672433e+18,140.8775783920442
222,2018-09-22 20:05:34.672433,1.537646734672433e+18,140.90951162892208
223,2018-09-23 20:05:34.672433,1.537733134672433e+18,140.94144486579995
224,2018-09-24 20:05:34.672433,1.537819534672433e+18,140.97337810267783
225,2018-09-25 20:05:34.672433,1.537905934672433e+18,141.0053113395557
226,2018-09-26 20:05:34.672433,1.537992334672433e+18,141.0372445764337
227,2018-09-27 20:05:34.672433,1.538078734672433e+18,141.06917781331157
228,2018-09-28 20:05:34.672433,1.538165134672433e+18,141.10111105018944
229,2018-09-29 20:05:34.672433,1.538251534672433e+18,141.13304428706732
230,2018-09-30 20:05:34.672433,1.538337934672433e+18,141.1649775239452
231,2018-10-01 20:05:34.672433,1.538424334672433e+18,141.19691076082307
232,2018-10-02 20:05:34.672433,1.538510734672433e+18,141.22884399770095
233,2018-10-03 20:05:34.672433,1.538597134672433e+18,141.26077723457882
234,2018-10-04 20:05:34.672433,1.538683534672433e+18,141.2927104714567
235,2018-10-05 20:05:34.672433,1.538769934672433e+18,141.32464370833458
236,2018-10-06 20:05:34.672433,1.538856334672433e+18,141.35657694521245
237,2018-10-07 20:05:34.672433,1.538942734672433e+18,141.38851018209033
238,2018-10-08 20:05:34.672433,1.539029134672433e+18,141.4204434189682
239,2018-10-09 20:05:34.672433,1.539115534672433e+18,141.45237665584608
240,2018-10-10 20:05:34.672433,1.539201934672433e+18,141.48430989272396
241,2018-10-11 20:05:34.672433,1.539288334672433e+18,141.51624312960183
242,2018-10-12 20:05:34.672433,1.539374734672433e+18,141.5481763664797
243,2018-10-13 20:05:34.672433,1.539461134672433e+18,141.5801096033577
244,2018-10-14 20:05:34.672433,1.539547534672433e+18,141.61204284023557
245,2018-10-15 20:05:34.672433,1.539633934672433e+18,141.64397607711345
246,2018-10-16 20:05:34.672433,1.539720334672433e+18,141.67590931399133
247,2018-10-17 20:05:34.672433,1.539806734672433e+18,141.7078425508692
248,2018-10-18 20:05:34.672433,1.539893134672433e+18,141.73977578774708
249,2018-10-19 20:05:34.672433,1.539979534672433e+18,141.77170902462495
250,2018-10-20 20:05:34.672433,1.540065934672433e+18,141.80364226150283
251,2018-10-21 20:05:34.672433,1.540152334672433e+18,141.8355754983807
252,2018-10-22 20:05:34.672433,1.540238734672433e+18,141.86750873525858
253,2018-10-23 20:05:34.672433,1.540325134672433e+18,141.89944197213646
254,2018-10-24 20:05:34.672433,1.540411534672433e+18,141.93137520901433
255,2018-10-25 20:05:34.672433,1.540497934672433e+18,141.9633084458922
256,2018-10-26 20:05:34.672433,1.540584334672433e+18,141.9952416827701
257,2018-10-27 20:05:34.672433,1.540670734672433e+18,142.02717491964796
258,2018-10-28 20:05:34.672433,1.540757134672433e+18,142.05910815652584
259,2018-10-29 20:05:34.672433,1.540843534672433e+18,142.0910413934037
260,2018-10-30 20:05:34.672433,1.540929934672433e+18,142.1229746302816
261,2018-10-31 20:05:34.672433,1.541016334672433e+18,142.15490786715958
262,2018-11-01 20:05:34.672433,1.541102734672433e+18,142.18684110403746
263,2018-11-02 20:05:34.672433,1.541189134672433e+18,142.21877434091533
264,2018-11-03 20:05:34.672433,1.541275534672433e+18,142.2507075777932
265,2018-11-04 20:05:34.672433,1.541361934672433e+18,142.28264081467108
266,2018-11-05 20:05:34.672433,1.541448334672433e+18,142.31457405154896
267,2018-11-06 20:05:34.672433,1.541534734672433e+18,142.34650728842684
268,2018-11-07 20:05:34.672433,1.541621134672433e+18,142.3784405253047
269,2018-11-08 20:05:34.672433,1.541707534672433e+18,142.4103737621826
270,2018-11-09 20:05:34.672433,1.541793934672433e+18,142.44230699906046
271,2018-11-10 20:05:34.672433,1.541880334672433e+18,142.47424023593834
272,2018-11-11 20:05:34.672433,1.541966734672433e+18,142.50617347281622
273,2018-11-12 20:05:34.672433,1.542053134672433e+18,142.5381067096941
274,2018-11-13 20:05:34.672433,1.542139534672433e+18,142.57003994657197
275,2018-11-14 20:05:34.672433,1.542225934672433e+18,142.60197318344984
276,2018-11-15 20:05:34.672433,1.542312334672433e+18,142.63390642032772
277,2018-11-16 20:05:34.672433,1.542398734672433e+18,142.6658396572056
278,2018-11-17 20:05:34.672433,1.542485134672433e+18,142.69777289408358
279,2018-11-18 20:05:34.672433,1.542571534672433e+18,142.72970613096146
280,2018-11-19 20:05:34.672433,1.542657934672433e+18,142.76163936783934
281,2018-11-20 20:05:34.672433,1.542744334672433e+18,142.7935726047172
282,2018-11-21 20:05:34.672433,1.542830734672433e+18,142.8255058415951
283,2018-11-22 20:05:34.672433,1.542917134672433e+18,142.85743907847296
284,2018-11-23 20:05:34.672433,1.543003534672433e+18,142.88937231535084
285,2018-11-24 20:05:34.672433,1.543089934672433e+18,142.92130555222872
286,2018-11-25 20:05:34.672433,1.543176334672433e+18,142.9532387891066
287,2018-11-26 20:05:34.672433,1.543262734672433e+18,142.98517202598447
288,2018-11-27 20:05:34.672433,1.543349134672433e+18,143.01710526286234
289,2018-11-28 20:05:34.672433,1.543435534672433e+18,143.04903849974022
